song_id,title,artist,year,tempo,duration,key,mode,loudness
SOCIWDW12A8C13D406,Soul Deep,The Box Tops,1969,121.274,148.03546,6,0,-9.843
SONHOTT12A8C13493C,Something Girls,Adam Ant,1982,119.293,233.40363,0,1,-9.013
SOFSOCN12A8C143F5D,Face the Ashes,Gob,2007,129.738,209.60608,2,1,-4.501
SOIAZJW12AB01853F1,Pink World,Planet P Project,1984,86.643,269.81832,4,1,-13.496
SOBONFF12A6D4F84D8,Tonight Will Be Alright,Lionel Richie,1986,125.197,307.3824,3,1,-8.346
SOHUOAP12A8AE488E9,Floating,Blue Rodeo,1987,119.826,491.12771,7,1,-8.576
SOXLBJT12A8C140925,Caught In A Dream,Tesla,2004,150.062,290.29832,7,1,-5.271
SOBBUGU12A8C13E95D,Setting Fire to Sleeping Giants,The Dillinger Escape Plan,2004,166.862,207.77751,7,1,-4.264
SOBLGCN12AB0183212,James (Hold The Ladder Steady),SUE THOMPSON,1985,137.522,124.86485,10,1,-12.332
SONYPOM12A8C13B2D7,I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,2005,90.022,186.48771,5,1,-4.516
SOBZBAZ12A6D4F8742,Spanish Grease,Willie Bobo,1997,127.025,168.25424,8,1,-9.616
SOVYKGO12AB0187199,Crazy Mixed Up World,Faye Adams,1961,95.957,156.39465,8,1,-18.051
SOGNCJP12A58A80271,Do You Finally Need A Friend,Terry Callier,1972,110.189,342.56934,6,1,-11.939
SOYTPEP12AB0180E7B,Twist and Shout,The Shangri-Las,1964,130.1,164.80608,10,1,-10.922
SOGXHEG12AB018653E,It Makes No Difference Now,Billie Jo Spears,1992,160.839,133.32853,4,1,-9.983
SOGOSOV12AF72A285E,¿Dónde va Chichi?,Sierra Maestra,1997,189.646,313.12934,9,1,-9.512
SOMSBGZ12AB018C4CB,Spin,Scarlet's Remains,2007,115.061,198.73914,7,1,-7.469
SONYRZV12AB018AF70,Burning In The Aftermath,The Suicide Machines,2003,115.887,95.68608,2,1,-2.022
SOINBCU12A6D4F94C0,Human Cannonball,Loudon Wainwright III,1995,102.428,190.48444,3,1,-15.663
SOTWVQT12A58A79650,Glory Be,R.L. Burnside,2004,89.984,277.78567,2,1,-6.944
SOTSEJY12AB0180F56,Crossfire,Stevie Ray Vaughan,1992,116.721,248.78975,1,1,-7.805
SOTSETT12AB01863B8,I Can't Be Satisfied,John Hammond,2002,123.142,195.3171,7,1,-10.7
SOTUNMH12A6D4FA3E6,Nashville Parthenon,Casiotone For The Painfully Alone,2006,141.919,175.72526,0,1,-10.93
SOEPPKB12AB018418B,Cocain Ducks,Ec8or,1995,95.596,217.23383,10,0,-9.493
SOGKIWV12A6D4F86C4,Human Being,The New York Dolls,1974,154.953,344.05832,11,1,-9.253
SOPHYIS12AAF3B35A3,The More I See You,Eliane Elias,2009,86.091,251.42812,7,1,-12.009
SOFHBAR12A6701D0FE,Certain Things We Do,Lost Boyz,1997,90.218,269.7922,7,1,-11.043
SOCPRKM12AB018A2FD,Forming,The Germs,1977,133.144,206.05342,11,0,-11.506
SODHVES12A6701CE6B,Driving Home For Christmas,Chris Rea,1986,180.149,241.162,9,1,-8.531
SOXIATP12AAF3B2184,Spooks In Space,Perrey And Kingsley,1966,102.538,122.64444,0,0,-8.541
SOGNQWU12A8AE4868F,Tous Les Garçons Et Les Filles,Eurythmics,1985,84.164,207.0722,0,1,-6.629
SOYQOFI12A6D4F76E1,Too Much Saturn,Francis Dunnery,1995,124.175,300.79955,7,1,-13.33
SOVOLGY12A6D4F822B,Movement 4 [from Kiss] (Album Version),John Cale,1997,137.004,228.46649,7,1,-12.412
SOYWZTU12AB0180E26,Deform (live),The Berzerker,2000,174.287,165.61587,1,1,-6.222
SOLGHDZ12AB0183B11,Wicker Chair,Kings Of Leon,2003,116.823,187.92444,0,1,-5.907
SOPIKEG12A58291636,Stickin In My Eye,NOFX,1992,152.622,144.50893,4,0,-7.787
SOSBDSF12AB0189007,Entre Caníbales,Soda Stereo,1990,112.903,246.69995,7,1,-9.603
SOIJXXM12A8C1416D6,Rosemary Recalls,Bruce Rowland,1985,115.642,84.03546,7,1,-26.266
SOHMMMC12AB0181C42,Sudanese Dance,Xcultures,2000,125.013,273.52771,1,1,-6.305
SOFZCTA12AB0188D8F,Wanna Be A Player,Heavy D / McGruff,1997,96.979,161.38404,5,0,-9.161
SOCHRXB12A8AE48069,Let's Get It Started,Black Eyed Peas,2004,105.206,229.61587,11,0,-4.882
SOKBBXO12A6701DEA0,Metal,Nine Inch Nails,2000,63.017,426.89261,0,0,-12.951
SOOOROX12A6D4F8400,It's My Party,Lesley Gore,1963,129.122,136.48934,9,1,-9.091
SONSPZE12AB01819CE,Complicate It,Smartbomb,2001,132.022,233.27302,0,1,-2.658
SOHWGFU12AB017B036,Monde De Fou,Suburbs,2005,183.92,187.24526,1,1,-4.42
SORABMD12A8C136672,You Feel Good All Over,T.G. Sheppard,2002,82.343,194.11546,5,1,-15.581
SOTUBVH12AB018D2EC,Indian Love Call,Slim Whitman,1990,91.487,195.91791,3,1,-11.98
SOMQAGT12A8C132DB4,You Can Still Be Free,Savage Garden,1999,84.69,118.33424,9,0,-11.215
SOKLLOH12A67020F2C,I Never Came,Queens Of The Stone Age,2005,115.606,288.41751,2,1,-8.165
SODDZAD12A6701DC4C,Commercial Reign,Inspiral Carpets,1990,113.677,283.76771,2,1,-8.7
SORWHWY12A6702038E,WKYA (drop),Redman,2001,85.008,124.18567,1,0,-10.296
SOUVRGZ12A58A77F90,Mangos,Kai Winding,1961,112.006,223.4771,0,1,-14.438
SOUQVUD12A8C142DCE,Openbare Weg,Mira,2006,85.621,177.81506,4,1,-12.004
SOCRPDR12AB0185B75,President Johnson,Citizen Kaned,2000,108.061,385.33179,8,0,-8.37
SOXVBVL12AF72A600C,Lead Me Lord,The Brooklyn Tabernacle Choir,1995,216.195,324.44036,7,1,-11.829
SORAVUP12AB018556E,I Want You (Forever),Carl Cox Vs Yousef,1991,130.016,357.82485,1,1,-5.701
SOFXNQP12AB0184F1A,Hate,Organized Konfusion,1997,175.769,198.3473,11,0,-8.709
SOGQTRZ12A8C13C8B0,I Can't Stop Loving You,Martina McBride,2005,100.194,261.95546,7,1,-13.627
SOBHVZQ12AC9618285,Thank You Lord,Horace Andy,1985,151.911,176.27383,2,1,-11.479
SOOGQWR12A8C142505,Candy Man,Hot Tuna,1971,172.398,239.59465,0,1,-9.275
SOFRAZJ12A8C143CDB,On Bended Knee,Boyz II Men,1994,116.473,329.27302,8,1,-7.103
SOYZOXW12A8C13E195,Little Girl (LP Version),Donny Hathaway,1971,111.191,283.21914,2,1,-15.144
